#mcc118
#Date	Time	samples	Channel0	Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7
2021-07-15	15:00:00:045	1	1.7459	-0.0021	1.7438	1.7393	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:00:147	2	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:00:249	3	1.7459	-0.0021	1.7438	1.7444	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:00:351	4	1.7511	-0.0021	1.7489	1.7444	1.7466	1.748	1.7404	1.7434
2021-07-15	15:00:00:453	5	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:00:555	6	1.7459	-0.0021	1.7438	1.7444	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:00:657	7	1.7459	-0.0021	1.7438	1.7393	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:00:760	8	1.7459	-0.0021	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:00:862	9	1.7459	-0.0021	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:00:964	10	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7434
2021-07-15	15:00:01:066	11	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:01:168	12	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:01:270	13	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:01:372	14	1.7459	-0.0021	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:01:475	15	1.7459	-0.0021	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:01:577	16	1.7459	-0.0021	1.7438	1.7393	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:01:679	17	1.7459	-0.0021	1.7438	1.7444	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:01:781	18	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:01:883	19	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:01:985	20	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:02:088	21	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:02:190	22	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:02:292	23	1.7459	-0.0021	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:02:394	24	1.7459	-0.0021	1.7438	1.7393	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:02:496	25	1.7459	-0.0021	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:02:598	26	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-15	15:00:02:700	27	1.7511	-0.0021	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-15	15:00:02:802	28	1.7511	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:02:904	29	1.7459	-0.0021	1.7438	1.7444	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:03:006	30	1.7459	-0.0021	1.7438	1.7444	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:03:107	31	1.7459	-0.0021	1.7438	1.7393	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:03:209	32	1.7459	-0.0021	1.7438	1.7393	1.7466	1.7429	1.7353	1.7383
2021-07-15	15:00:03:311	33	1.7459	-0.0021	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:03:413	34	1.7459	-0.0021	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:03:515	35	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:03:617	36	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:03:719	37	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:03:821	38	1.7459	-0.0021	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:03:923	39	1.7459	-0.0021	1.7438	1.7393	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:04:025	40	1.7459	-0.0021	1.7438	1.7393	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:04:127	41	1.7511	-0.0021	1.7438	1.7393	1.7466	1.7429	1.7404	1.7383
2021-07-15	15:00:04:229	42	1.7511	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:04:331	43	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7404	1.7434
2021-07-15	15:00:04:433	44	1.7459	-0.0021	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-15	15:00:04:535	45	1.7459	-0.0021	1.7438	1.7444	1.7518	1.748	1.7404	1.7383
2021-07-15	15:00:04:637	46	1.7459	-0.0072	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-15	15:00:04:739	47	1.7459	-0.0021	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
