Date	Time	Samples	Channel0	Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7
2021-07-13	11:48:53:409	1	1.7511	-10.4488	1.7438	1.7393	1.7466	1.748	1.7404	1.7434
2021-07-13	11:48:53:511	2	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-13	11:48:53:613	3	1.7511	-10.4488	1.7438	1.7444	1.7518	1.748	1.7404	1.7383
2021-07-13	11:48:53:715	4	1.7511	-10.4488	1.7438	1.7444	1.7518	1.748	1.7404	1.7383
2021-07-13	11:48:53:817	5	1.7511	-10.4488	1.7489	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:53:919	6	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7404	1.7434
2021-07-13	11:48:54:021	7	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:54:123	8	1.7459	-10.4488	1.7438	1.7393	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:54:227	9	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-13	11:48:54:330	10	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:54:433	11	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:54:537	12	1.7511	-10.4488	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:54:641	13	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:54:745	14	1.7511	-10.4488	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:54:848	15	1.7459	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:54:952	16	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:55:055	17	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:55:158	18	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:55:262	19	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:55:365	20	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:55:468	21	1.7511	-10.4488	1.7438	1.7393	1.7466	1.748	1.7404	1.7383
2021-07-13	11:48:55:571	22	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7404	1.7434
2021-07-13	11:48:55:675	23	1.7511	-10.4488	1.7438	1.7393	1.7518	1.748	1.7455	1.7383
2021-07-13	11:48:55:778	24	1.7459	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:55:881	25	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-13	11:48:55:984	26	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:56:088	27	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:56:190	28	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:56:292	29	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:56:394	30	1.7511	-10.4488	1.7489	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:56:496	31	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:56:598	32	1.7459	-10.4488	1.7438	1.7393	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:56:700	33	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:56:802	34	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7383
2021-07-13	11:48:56:906	35	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:57:010	36	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:57:113	37	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7455	1.7434
2021-07-13	11:48:57:215	38	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7404	1.7383
2021-07-13	11:48:57:317	39	1.7511	-10.4488	1.7438	1.7444	1.7466	1.748	1.7404	1.7434
